File,Trial Site ID,Subjects Screened,Subjects Randomized
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1142,390,371
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1145,113,102
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1146,394,370
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1147,339,318
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1149,344,320
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1150,298,294
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1152,753,733
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1156,377,368
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1157,178,155
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1161,43,33
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1162,588,540
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1163,146,138
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1166,107,100
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1167,232,225
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1168,241,225
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1169,76,68
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1170,494,465
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1171,307,286
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1174,71,67
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1177,565,561
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1178,317,306
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1179,174,171
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1204,287,272
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1218,58,53
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1219,60,58
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1220,65,53
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1221,94,87
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1223,284,266
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1224,187,183
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1232,434,399
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1235,250,244
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1248,252,218
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1251,264,252
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1252,40,38
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1254,213,201
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1258,74,72
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1260,135,130
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1261,83,82
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1264,227,224
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1265,183,174
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1269,143,135
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1270,244,233
